strategy,n,total_return,CAGR,ann_mean,ann_vol,Sharpe,Sortino,max_drawdown,Calmar,CVaR_95,annual_turnover,total_turnover,avg_weight,median_weight,p10_weight,p90_weight
TREND_X_VOL_Z,562,0.22635813037338326,0.14170512329364215,0.15071891236844817,0.19150047358452565,0.7870419824414843,1.264693584450719,-0.15063640048898408,0.9407097011987149,-0.02404899162525092,35.65068611335546,54.89228930330348,0.31428379828375913,0,0,1.2149765152892191
TREND,562,0.20816766784550333,0.13067774964795298,0.13886067131253052,0.17968243323354738,0.7728116144333508,1.2275019003690089,-0.14683602999084044,0.8899569789247543,-0.0218560524340119,21.43238434163701,33,0.2775800711743772,0,0,1
TREND_EWMA,562,0.12044654319221748,0.0766582592676679,0.07947218240370478,0.10612002608722086,0.7488895860088273,1.1859875418752575,-0.08835179738896304,0.8676479883050358,-0.012585199055069518,13.409303217486823,20.646653173226287,0.15504262732299573,0,0,0.594814322477652
TREND_MODEL_VOL,562,0.09325950112949477,0.059618295901192386,0.0619482924916534,0.09000999542374967,0.68823792513279,1.0754731263324304,-0.08029095957935639,0.742528127868095,-0.011248221949484893,16.956442258599832,26.108275477624947,0.14379352521491232,0,0,0.5352933975425325
TREND_X_VOL_Z_X_CHANGE,562,0.15249367888763676,0.09655938377818774,0.1097629734226544,0.18813376771070534,0.5834304748068285,0.9064729243835469,-0.15894544048898707,0.6075001804463721,-0.024411538923946225,51.60525374315992,79.45795233878322,0.30767410688856445,0,0,1.2609601435607707
RAW_FORECAST_Z,562,-0.1326977949884326,-0.08831712325523311,-0.00906601255430556,0.40915799708852907,-0.02215773031155971,-0.03195615236388464,-0.48826990817064786,-0.1808776698652638,-0.04731037729173503,53.404369927303414,82.2280983538206,1.035260941831203,1.0919700081432593,0.6822252913392058,1.3220952592381234
EWMA_VOL_TARGET,562,-0.04188631381798413,-0.027407316342672128,-0.007459692966309453,0.20185174787389387,-0.03695629611773225,-0.05278175224647139,-0.3162459029800211,-0.08666457362580786,-0.02434950318286931,3.5691378884988407,5.495494502291366,0.4836270922413608,0.4731090952866457,0.337238346434246,0.6395891827838484
BUY_HOLD,562,-0.19514356266114208,-0.1315050400200185,-0.04454118148823798,0.4392311307285095,-0.1014071598576401,-0.1444391191042936,-0.529717659135106,-0.24825496706062758,-0.051847237077077515,0.6494661921708185,1,1,1,1,1
ERROR_ADJUSTED_VOL_TARGET,562,-0.06119036308066084,-0.04017946188109078,-0.020674027486952882,0.20190332221434665,-0.10239567759565993,-0.14612945221591042,-0.29726466541710894,-0.13516393488850315,-0.024062506011831068,29.49263562490143,45.41057868820439,0.5147241491486886,0.5134009783322397,0.3201237041626153,0.7109327855416577
MODEL_VOL_TARGET,562,-0.0697008813290062,-0.04583947393911636,-0.029290103137375803,0.18796253718550948,-0.1558294731277646,-0.22064405250055846,-0.2886111919354546,-0.15882777667668538,-0.022428144299717553,23.76492705730865,36.59147672933551,0.47876057877375977,0.4762889207852756,0.3348086125982975,0.6249931728376832
COMPRESSION_BREAKOUT,562,-0.03113799439926157,-0.020335017264423993,-0.015832199287813622,0.0972938363681495,-0.1627256142712501,-0.23898450558055548,-0.1230591902806798,-0.16524582372143706,-0.01252701228521727,6.494661921708185,10,0.10142348754448399,0,0,0.9000000000000341
MODEL_MINUS_EWMA_Z,562,-0.21852739340003735,-0.14797741525117503,-0.07862464411348916,0.4040414856668592,-0.19459547324384616,-0.2751583031680231,-0.49897015485676033,-0.29656566391962863,-0.047947843395916824,59.006388446812764,90.8536720742706,0.9901464353207601,0.9978808796805965,0.673731072904712,1.3145055309159006
VOL_CHANGE_Z,562,-0.2537577629760359,-0.1731252221752313,-0.0968685735999554,0.43228701989776075,-0.22408392836515326,-0.3191878926381301,-0.5466684626467835,-0.316691439153116,-0.050720584880169915,98.08909175975481,151.0303275862526,0.9944594470766529,0.9933405507404753,0.7206908475622027,1.2756978622256345
MODEL_DISAGREEMENT,562,-0.2157218022108558,-0.14599202735972594,-0.08770389205768402,0.3749820188843148,-0.23388826034546853,-0.3342480149703365,-0.47232447194347205,-0.30909265988063883,-0.04513050598678956,56.07266681175233,86.33654451562961,0.8443239725080115,1,0.4798248240918347,1
VOL_STATE_MACHINE,562,-0.2246630830025832,-0.15232809000975656,-0.10180696485275148,0.356565133472277,-0.2855213684561421,-0.40311663407704895,-0.4479955737110254,-0.34002141750626785,-0.04387605232294913,106.62314247763459,164.17042759570037,0.8854092526690391,0.9,0.35,1.25
