"horizon","model","n","RMSE","MAE","QLIKE","log_RMSE","bias","guard_rate"
1,"REALGARCH",608,6.59308190593296,3.21560570502916,0.290789546882814,0.809884708925609,0.0156167210620099,0
1,"HARQ",608,6.45386451064592,3.3874657670888,0.294462413156319,0.880733611273887,0.835432815596167,0
1,"HARQ_F",608,6.47356530758693,3.3811193025608,0.295449433884976,0.875634280586587,0.799575478625053,0
1,"HEAVY_RM",608,7.02086514202049,3.49271069710826,0.297939281236318,0.881294599406035,0.878921658001237,0
1,"HAR_J",608,6.64098189860078,3.52303099983114,0.311158203836379,0.918387128926885,0.935440027850883,0
1,"HAR_RV",608,6.67758653924262,3.52086678459749,0.312146706647743,0.915757139697612,0.903201076695394,0
1,"GARCH_11",608,7.37773653495217,4.23417774805856,0.365022033623721,0.997286647286678,1.61688127703431,0
5,"REALGARCH",608,4.64086309229472,2.94920113831351,0.19535164925328,0.625463719936964,0.165491725811367,0
5,"HARQ",608,4.47072783032135,3.34338419909017,0.20252605303578,0.689065772259373,1.30439125608365,0
5,"HARQ_F",608,4.5451347626339,3.35648602928585,0.204579855983272,0.682895170172716,1.2585419206997,0
5,"HAR_J",608,4.60324431043301,3.43947853777715,0.209422183937326,0.705947322570909,1.41280790417113,0
5,"HAR_RV",608,4.58736217441538,3.41450745861825,0.209552902798587,0.702605932899366,1.34715219091753,0
5,"HEAVY_RM",608,4.91578286585706,3.67762119833922,0.22599906676761,0.750039100037668,1.72506648050306,0
5,"GARCH_11",608,5.78527183252456,3.99097606253596,0.234916177144959,0.74251192464456,1.93598148227306,0
10,"REALGARCH",608,4.30347922889424,2.88388704115421,0.181457839906683,0.618857789302458,0.384486352086293,0
10,"HARQ",608,4.17027034971818,3.38969558116434,0.199396640432078,0.693183974528558,1.56586799895252,0
10,"HAR_J",608,4.23781388205296,3.46581425811239,0.203594580911104,0.704553865071343,1.63655953435321,0
10,"HAR_RV",608,4.22519807237917,3.45391321370164,0.204152514085853,0.703330059321269,1.59890291896156,0
10,"HARQ_F",608,4.32238907275327,3.48860000490995,0.210365558433874,0.70070402558064,1.5046043256355,0
10,"HEAVY_RM",608,4.53452360766812,3.78060412969195,0.227288543551926,0.767354392992622,2.18578939827023,0
10,"GARCH_11",608,5.71091103912896,4.17778424810437,0.231880115298944,0.749664268636224,2.33225891614284,0
