strategy,n,total_return,CAGR,ann_mean,ann_vol,Sharpe,Sortino,max_drawdown,Calmar,CVaR_95,annual_turnover,total_turnover,avg_weight,median_weight,p10_weight,p90_weight,common_vol_scale
TREND_X_VOL_Z,562,0.2359201909951953,0.1474788051653224,0.1574083964882981,0.1999999999999999,0.7870419824414908,1.2646935844507268,-0.1571152661245136,0.938666297700477,-0.0251163782262251,37.233000468398174,57.32861989928705,0.328232920160419,0.0,0.0,1.2689018387758182,1.0443838401878596
TREND,562,0.230469428694104,0.1441894991784285,0.1545623228866718,0.2,0.772811614433359,1.2275019003690195,-0.1629157717912478,0.8850554958128041,-0.0243274225985173,23.855848294061925,36.73147052400768,0.3089674000725329,0.0,0.0,1.1130748643638688,1.1130748643638688
TREND_EWMA,562,0.2214086149915826,0.1387103529842248,0.1497779172017669,0.1999999999999999,0.7488895860088348,1.185987541875266,-0.164797489344202,0.8417018580574936,-0.0237188012839831,25.27195612723589,38.91188861234677,0.2922023920264881,0.0,0.0,1.1210218172935085,1.8846584134423336
TREND_MODEL_VOL,562,0.1987749308638233,0.1249609392787245,0.1376475850265595,0.2,0.6882379251327976,1.0754731263324395,-0.174906206373349,0.7144454268934688,-0.0249932730171364,37.67679840171579,58.0119471281213,0.3195056827588107,0.0,0.0,1.1894087873740606,2.2219754490425125
TREND_X_VOL_Z_X_CHANGE,562,0.1607578771414901,0.1016598100837824,0.116686094961366,0.1999999999999999,0.5834304748068302,0.9064729243835464,-0.1685722254016308,0.6030638193306957,-0.025951257151756,54.86017143133369,84.46963382030009,0.3270801522049755,0.0,0.0,1.3404931596328429,1.0630733782334167
RAW_FORECAST_Z,562,-0.0368307084131543,-0.0240773273668255,-0.0044315460623135,0.1999999999999999,-0.0221577303115679,-0.0319561523638965,-0.2686434908476658,-0.0896255751101693,-0.0231257253327001,26.104522119726997,40.19381214051116,0.506044583851654,0.533764470406767,0.3334776766890832,0.6462517016144573,0.4888087277363578
EWMA_VOL_TARGET,562,-0.0412373546032877,-0.0269795206941119,-0.0073912592235484,0.1999999999999999,-0.0369562961177421,-0.0527817522464853,-0.3137641870675871,-0.0859866160834356,-0.0241261256732655,3.5363953258692056,5.445079926406832,0.4791903932816138,0.4687688863434759,0.3341445887750599,0.6337217185589401,0.9908261984679452
BUY_HOLD,562,-0.0600938047725652,-0.039451494519152,-0.0202814319715298,0.1999999999999999,-0.1014071598576493,-0.1444391191043065,-0.2762689993058868,-0.1428010186386173,-0.0236081795892216,0.2957286707313361,0.4553411313726326,0.4553411313726326,0.4553411313726326,0.4553411313726326,0.4553411313726326,0.4553411313726326
ERROR_ADJUSTED_VOL_TARGET,562,-0.0603567739335325,-0.0396260435559043,-0.0204791355191333,0.1999999999999999,-0.1023956775956665,-0.1461294522159194,-0.294828564537456,-0.1344036783480325,-0.0238356711993927,29.214611529364728,44.98249775206296,0.5098718966122239,0.5085611991933432,0.3171059303548882,0.7042308940185849,0.9905731010591012
MODEL_VOL_TARGET,562,-0.0757073382493109,-0.0498450626715455,-0.0311658946255541,0.2,-0.1558294731277707,-0.2206440525005667,-0.3045953359832578,-0.1636435518969511,-0.0238644834609591,25.28687621816246,38.93486146467754,0.5094212771784923,0.5067913297160949,0.356250365218106,0.6650188725861341,1.0640418191557526
COMPRESSION_BREAKOUT,562,-0.0775467983101545,-0.0510735860595734,-0.0325451228542508,0.1999999999999999,-0.1627256142712542,-0.2389845055805596,-0.2393893743116982,-0.2133494279201917,-0.0257508856734078,13.350613284757578,20.556286756256878,0.208489029378406,0.0,0.0,1.8500658080631889,2.0556286756256874
MODEL_MINUS_EWMA_Z,562,-0.0866763349093316,-0.0571837031009868,-0.0389190946487708,0.1999999999999999,-0.1945954732438542,-0.275158303168034,-0.2828317054364802,-0.2021827892765349,-0.0237341189441377,29.20808409038712,44.97244728437688,0.490121173416909,0.4939497131259296,0.3334959883105758,0.6506784959204609,0.4949986748759371
VOL_CHANGE_Z,562,-0.0949123415651745,-0.0627142013760593,-0.0448167856730324,0.2,-0.224083928365162,-0.3191878926381424,-0.2942417125224514,-0.2131383780988361,-0.0234661613907194,45.381465204740046,69.87502313716138,0.4600922078631238,0.4595745442347123,0.3334316388831905,0.5902087286948144,0.4626555755648224
MODEL_DISAGREEMENT,562,-0.0976399207093088,-0.0645496614542965,-0.0467776520690978,0.2,-0.2338882603454893,-0.3342480149703657,-0.2795867002493915,-0.2308752934124484,-0.0240707573771492,29.906856322650157,46.04836507761476,0.4503277117234225,0.5333589077019243,0.2559188440658889,0.5333589077019243,0.5333589077019243
VOL_STATE_MACHINE,562,-0.1118901853181926,-0.0741708637247091,-0.0571042736912298,0.1999999999999999,-0.2855213684561491,-0.4031166340770583,-0.275032150006481,-0.2696807035939665,-0.0246103997301579,59.80570306430414,92.08439759490116,0.4966325473535858,0.5048166046049913,0.1963175684574966,0.701134173062488,0.5609073384499904
